Open,High,Low,Close,Volume
18456,18456,18447.5,18447.5,473467061
18447.5,18477,18447.5,18477,453868859
18477,18493,18477,18493,516093140
18493,18494,18484,18494,419020230
18494,18507,18494,18507,364864120
18507,18507,18476.5,18476.5,328470302
18476.5,18476.5,18470,18470,418225023
18470,18470,18465.5,18465.5,894411207
18465.5,18478.5,18465.5,18476,435710331
18476,18476,18459.5,18459.5,399148226
18459.5,18459.5,18447.5,18449.5,380360926
18449.5,18458.5,18439.5,18442,308449743
18442,18442,18429,18429,564311432
18429,18429,18413,18413,501153906
18412.5,18412.5,18382,18382,359630964
18385,18393.5,18385,18385.5,336049552
18385.5,18385.5,18360.5,18385,452075749
18385,18387,18360.5,18360.5,939361304
18360.5,18389,18360.5,18380.5,345267168
18380.5,18380.5,18365.5,18365.5,511004136
18365.5,18385.5,18365.5,18380.5,284877796
18380.5,18391,18380.5,18391,421055106
18391,18395,18388.5,18388.5,330858612
18388.5,18391.5,18380,18391.5,310855716
18391.5,18412,18391.5,18412,325601467
18414.5,18420.5,18414.5,18420.5,310931935
18420.5,18420.5,18405.5,18405.5,345645942
18405.5,18414.5,18404.5,18414.5,352982107
18414.5,18421.5,18414.5,18421.5,354594693
18421.5,18422.5,18403,18422.5,363280710
18422.5,18462.5,18422.5,18462.5,305979360
18462.5,18489,18462.5,18463.5,313476604
18463.5,18466,18461,18466,333753321
18466,18483.5,18466,18470.5,321853700
18470.5,18481.5,18470.5,18481.5,383973830
18481.5,18484,18481.5,18484,493787951
18484,18484,18484,18484,426845525
18484,18484,18479.5,18479.5,482042004
18479.5,18488,18479.5,18488,515229856
18488,18490,18481,18481,550494628
18481,18481,18481,18481,407686939
18481,18481,18481,18481,484170987
18474.5,18492.5,18468,18492.5,431622308
18497.5,18520.5,18497.5,18520.5,480774407
18520.5,18524.5,18517.5,18519.5,440573270
18519.5,18519.5,18500.5,18500.5,651490503
18500.5,18502.5,18491,18502.5,445381011
18502.5,18509.5,18498.5,18509.5,1207338456
18509.5,18509.5,18509.5,18509.5,369794325
18509.5,18509.5,18503.5,18503.5,399984155
18501,18501,18501,18501,506682216
18501,18501,18501,18501,432007431
18501,18505.5,18501,18505.5,450368064
18507.5,18511.5,18491,18491,463389038
18491,18506,18491,18506,385302555
18506,18522,18506,18522,427990577
18522,18527.5,18522,18527.5,472984038
18527.5,18545.5,18527.5,18545.5,1241266255
18545.5,18545.5,18545.5,18545.5,3781879193
18545.5,18545.5,18545.5,18545.5,2370109814
18545.5,18555.5,18545.5,18555.5,710447147
18555.5,18556.5,18555.5,18556.5,330726970
18556.5,18556.5,18556.5,18556.5,533275821
18556.5,18556.5,18556.5,18556.5,708757244
18556.5,18556.5,18556.5,18556.5,524914548
18556.5,18556.5,18545.5,18555.5,494474345
18555.5,18555.5,18550.5,18550.5,299699420
18550.5,18550.5,18547.5,18547.5,457017829
18547.5,18569,18547.5,18569,771346650
18569,18575,18569,18575,888110533
18575,18576.5,18573.5,18573.5,699868444
18573.5,18573.5,18565,18565,330262328
18568,18568,18565.5,18565.5,464377959
18565.5,18580,18565.5,18580,750538849
18580,18588,18580,18581.5,552337109
18581.5,18581.5,18576.5,18576.5,479433111
18576.5,18576.5,18565,18565,467571868
18565,18565,18555,18556,314747493
18556,18556,18551,18551,251624931
18549.5,18549.5,18546.5,18546.5,393409152
18546.5,18546.5,18544,18544,327696318
18542.5,18553.5,18540.5,18553.5,373223078
18553.5,18555,18540,18540,423082658
18540,18540.5,18534.5,18538,459749227
18538,18550,18538,18543.5,441229418
18543.5,18543.5,18543.5,18543.5,654216717
18543.5,18543.5,18535,18535,649192709
18535,18535,18535,18535,850783424
18535,18539.5,18535,18539.5,616633358
18540,18547.5,18540,18542.5,393196095
18542.5,18542.5,18530.5,18530.5,483041735
18530.5,18537,18530.5,18533.5,457185029
18533.5,18533.5,18525,18525,451766804
18525,18559.5,18525,18559.5,417118082
18564.5,18577.5,18564.5,18575,416734916
18575,18575,18562.5,18562.5,567627699
18562.5,18562.5,18550.5,18550.5,484422347
18550.5,18560,18550.5,18560,583149237
18564.5,18585,18564.5,18585,491780857
18585,18606,18585,18606,719167353
18606,18610,18606,18610,655817771
18610,18610,18600.5,18600.5,446597392
18600.5,18603,18600.5,18603,480132544
18604,18637.5,18604,18625.5,565131683
18625.5,18631,18611.5,18611.5,375622405
18611.5,18614,18611.5,18614,406033420
18614,18614,18591.5,18591.5,376476175
18591.5,18635.5,18591.5,18635.5,433702951
18635.5,18649.5,18635.5,18644.5,559023426
18644.5,18647,18640.5,18640.5,415546127
18640.5,18662.5,18640.5,18660.5,691155516
18660.5,18660.5,18645,18645,475791386
18645,18653,18641.5,18649.5,477938757
18649.5,18649.5,18649.5,18649.5,298138476
18649.5,18653,18649.5,18653,393879772
18653,18653,18649.5,18649.5,645546922
18649.5,18649.5,18642.5,18642.5,601266482
18642.5,18642.5,18635.5,18635.5,457730013
18635.5,18635.5,18635.5,18635.5,441787062
18635.5,18646,18635.5,18646,532226543
18646,18691.5,18646,18691.5,519294915
18690,18690,18653.5,18653.5,312528409
18653.5,18660,18653.5,18659,396805109
18659,18659,18659,18659,534892059
18659,18660,18648,18648,593324951
18648,18648,18646.5,18646.5,426422948
18646.5,18671.5,18646.5,18668,468631073
18668,18668,18630.5,18630.5,398922509
18628.5,18628.5,18607,18612.5,484541023
18612.5,18622,18612.5,18622,453533902
18632.5,18640,18632.5,18640,462428588
18640,18648,18640,18641.5,428437027
18641.5,18644.5,18641.5,18644.5,512921107
18644.5,18650,18644.5,18650,589808659
18650,18650,18643,18643,470961504
18641,18641,18629.5,18633.5,562232493
18633.5,18650,18633.5,18650,559614079
18650,18661.5,18650,18661.5,524334049
18661.5,18662,18631,18631,392053141
18629,18629,18613.5,18613.5,401694262
18613.5,18623.5,18613.5,18623.5,490852523
18628,18649,18628,18649,456580651
18649,18659.5,18649,18659.5,403322532
18659.5,18660,18649.5,18655,502605034
18655,18655,18639.5,18639.5,483362136
18639.5,18639.5,18627.5,18627.5,351240378
18627.5,18636,18627.5,18631.5,388960728
18631.5,18640,18631.5,18636.5,388382014
18636.5,18648.5,18636.5,18648.5,469972855
18648.5,18656,18644.5,18655.5,495306620
18655.5,18665,18655.5,18658,468000001
18658,18658,18653,18658,412003260
